created_at,created_by,updated_at,updated_by,name,district_id
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Tanore,15
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bagmara,15
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Natore Sadar,16
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Singra,16
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Baraigram,16
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bagatipara,16
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Lalpur,16
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Gurudaspur,16
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Naldanga,16
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Akkelpur,17
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Kalai,17
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Khetlal,17
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Panchbibi,17
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Joypurhat Sadar,17
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Chapainawabganj Sadar,18
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Gomostapur,18
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Nachol,18
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Bholahat,18
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Shibganj,18
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Mohadevpur,19
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Badalgachi,19
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Patnitala,19
2022-10-26 13:14:01.503,1,2022-10-26 13:14:01.503,1,Dhamoirhat,19
